iso_issued,issued,iso_expired,expired,eventid,phenomena,significance,hvtec_nwsli,wfo,ugc,name,ph_name,sig_name,url
2016-04-06T06:00:00Z,2016-04-06T06:00:00Z,2016-04-06T13:00:00Z,2016-04-06T13:00:00Z,1,FZ,W,NA,RAH,NCZ025,Freeze Warning,Freeze,Warning,/vtec/#2016-O-NEW-KRAH-FZ-W-0001
2016-04-09T14:00:00Z,2016-04-09T14:00:00Z,2016-04-10T00:00:00Z,2016-04-10T00:00:00Z,1,FW,W,NA,RAH,NCZ025,Red Flag Warning,Red Flag,Warning,/vtec/#2016-O-NEW-KRAH-FW-W-0001
2016-04-09T14:00:00Z,2016-04-09T14:00:00Z,2016-04-09T22:49:00Z,2016-04-09T22:49:00Z,3,WI,Y,NA,RAH,NCZ025,Wind Advisory,Wind,Advisory,/vtec/#2016-O-NEW-KRAH-WI-Y-0003
2016-04-10T04:00:00Z,2016-04-10T04:00:00Z,2016-04-09T08:12:00Z,2016-04-09T08:12:00Z,2,FZ,A,NA,RAH,NCZ025,Freeze Watch,Freeze,Watch,/vtec/#2016-O-NEW-KRAH-FZ-A-0002
2016-04-10T04:00:00Z,2016-04-10T04:00:00Z,2016-04-10T13:02:00Z,2016-04-10T13:02:00Z,2,FZ,W,NA,RAH,NCZ025,Freeze Warning,Freeze,Warning,/vtec/#2016-O-NEW-KRAH-FZ-W-0002
2016-06-29T08:01:00Z,2016-06-29T08:01:00Z,2016-06-29T10:58:00Z,2016-06-29T10:58:00Z,3,FG,Y,NA,RAH,NCZ025,Dense Fog Advisory,Dense Fog,Advisory,/vtec/#2016-O-NEW-KRAH-FG-Y-0003
2016-07-24T16:00:00Z,2016-07-24T16:00:00Z,2016-07-25T00:00:00Z,2016-07-25T00:00:00Z,3,HT,Y,NA,RAH,NCZ025,Heat Advisory,Heat,Advisory,/vtec/#2016-O-NEW-KRAH-HT-Y-0003
2016-07-25T16:00:00Z,2016-07-25T16:00:00Z,2016-07-26T00:00:00Z,2016-07-26T00:00:00Z,4,HT,Y,NA,RAH,NCZ025,Heat Advisory,Heat,Advisory,/vtec/#2016-O-NEW-KRAH-HT-Y-0004
2016-07-26T16:00:00Z,2016-07-26T16:00:00Z,2016-07-27T00:00:00Z,2016-07-27T00:00:00Z,5,HT,Y,NA,RAH,NCZ025,Heat Advisory,Heat,Advisory,/vtec/#2016-O-NEW-KRAH-HT-Y-0005
2016-07-27T16:00:00Z,2016-07-27T16:00:00Z,2016-07-28T00:00:00Z,2016-07-28T00:00:00Z,6,HT,Y,NA,RAH,NCZ025,Heat Advisory,Heat,Advisory,/vtec/#2016-O-NEW-KRAH-HT-Y-0006
